,parties,p_names,file_list
382,CDU/CSU,Dr. Volker Ullrich,
383,CDU/CSU,Kerstin Vieregge,
384,CDU/CSU,Dr. Oliver Vogt,
385,CDU/CSU,Christoph de Vries,
386,CDU/CSU,Dr. Johann David Wadephul,
387,CDU/CSU,Marco Wanderwitz,
388,CDU/CSU,Nina Warken,
389,CDU/CSU,Dr. Anja Weisgerber,
390,CDU/CSU,Maria-Lena Weiss,
391,CDU/CSU,Sabine Weiss (Wesel I),
392,CDU/CSU,Kai Whittaker,
393,CDU/CSU,Annette Widmann-Mauz,
394,CDU/CSU,Dr. Klaus Wiener,
395,CDU/CSU,Klaus-Peter Willsch,
396,CDU/CSU,Elisabeth Winkelmeier-Becker,
397,CDU/CSU,Tobias Winkler,
398,CDU/CSU,Mechthilde Wittmann,
399,CDU/CSU,Mareike Lotte Wulf,
400,CDU/CSU,Emmi Zeulner,
401,CDU/CSU,Paul Ziemiak,
402,CDU/CSU,Nicolas Zippelius,
403,BÜ90/GR,Stephanie Aeffner,
404,BÜ90/GR,Luise Amtsberg,
405,BÜ90/GR,Andreas Audretsch,
406,BÜ90/GR,Maik Außendorf,
407,BÜ90/GR,Tobias Bacherle,
408,BÜ90/GR,Lisa Badum,
409,BÜ90/GR,Annalena Baerbock,
410,BÜ90/GR,Felix Banaszak,
411,BÜ90/GR,Karl Bär,
412,BÜ90/GR,Canan Bayram,
413,BÜ90/GR,Katharina Beck,
414,BÜ90/GR,Lukas Benner,
415,BÜ90/GR,Dr. Franziska Brantner,
416,BÜ90/GR,Agnieszka Brugger,
417,BÜ90/GR,Frank Bsirske,
418,BÜ90/GR,Dr. Anna Christmann,
419,BÜ90/GR,Dr. Janosch Dahmen,
420,BÜ90/GR,Ekin Deligöz,
421,BÜ90/GR,Dr. Sandra Detzer,
422,BÜ90/GR,Katharina Dröge,
423,BÜ90/GR,Deborah Düring,
424,BÜ90/GR,Harald Ebner,
425,BÜ90/GR,Leon Eckert,
426,BÜ90/GR,Marcel Emmerich,
427,BÜ90/GR,Emilia Fester,
428,BÜ90/GR,Schahina Gambir,
429,BÜ90/GR,Tessa Ganserer,
430,BÜ90/GR,Matthias Gastel,
431,BÜ90/GR,Kai Gehring,
432,BÜ90/GR,Stefan Gelbhaar,
433,BÜ90/GR,Dr. Jan-Niclas Gesenhues,
434,BÜ90/GR,Katrin Göring-Eckardt,
435,BÜ90/GR,Dr. Armin Grau,
436,BÜ90/GR,Erhard Grundl,
437,BÜ90/GR,Sabine Grützmacher,
438,BÜ90/GR,Dr. Robert Habeck,
439,BÜ90/GR,Britta Haßelmann,
440,BÜ90/GR,Linda Heitmann,
441,BÜ90/GR,Kathrin Henneberger,
442,BÜ90/GR,Bernhard Herrmann,
443,BÜ90/GR,Dr. Bettina Hoffmann,
444,BÜ90/GR,Dr. Anton Hofreiter,
445,BÜ90/GR,Bruno Hönel,
