25,24,time,mNr
0.476616,0.957672,1731489942706400,20
0.0,0.835416,1731489942706800,20
-0.278026,1.283688,1731489942707200,20
-0.238308,0.631656,1731489942707600,20
0.913514,0.590904,1731489942708000,20
2.38308,0.468648,1731489942708400,20
0.754642,-0.794664,1731489942708800,20
0.635488,0.387144,1731489942709200,20
0.675206,0.631656,1731489942709600,20
0.158872,0.5094,1731489942710000,20
0.317744,-0.10188,1731489942710400,20
0.357462,-0.876168,1731489942710800,20
0.039718,-0.794664,1731489942711200,20
0.675206,-0.10188,1731489942711600,20
0.476616,-0.468648,1731489942712000,20
0.99295,-1.405944,1731489942712400,20
-0.436898,-0.550152,1731489942712800,20
-0.714924,-0.91692,1731489942713200,20
-0.913514,-0.794664,1731489942713600,20
0.317744,-0.71316,1731489942714000,20
-0.119154,-0.264888,1731489942714400,20
-1.9859,-0.468648,1731489942714800,20
-1.747592,-0.468648,1731489942715200,20
-0.675206,-0.061128,1731489942715600,20
-1.151822,-0.183384,1731489942716000,20
-0.19859,0.10188,1731489942716400,20
-1.350412,0.061128,1731489942716800,20
-1.231258,0.10188,1731489942717200,20
-1.072386,0.91692,1731489942717600,20
0.079436,0.91692,1731489942718000,20
-0.19859,0.998424,1731489942718400,20
-0.834078,0.753912,1731489942718800,20
-0.714924,0.794664,1731489942719200,20
0.714924,0.71316,1731489942719600,20
0.39718,1.813464,1731489942720000,20
1.549002,0.957672,1731489942720400,20
-0.158872,0.346392,1731489942720800,20
-0.039718,0.71316,1731489942721200,20
0.436898,1.405944,1731489942721600,20
1.469566,0.957672,1731489942722000,20
1.549002,0.264888,1731489942722400,20
0.436898,-0.020376,1731489942722800,20
-0.119154,-0.876168,1731489942723200,20
0.278026,-0.672408,1731489942723600,20
-0.039718,0.264888,1731489942724000,20
0.834078,-0.631656,1731489942724400,20
-0.516334,-1.161432,1731489942724800,20
0.079436,-0.061128,1731489942725200,20
0.238308,-1.365192,1731489942725600,20
-0.39718,-0.590904,1731489942726000,20
0.278026,-0.346392,1731489942726400,20
-2.224208,-0.91692,1731489942726800,20
-1.231258,-0.998424,1731489942727200,20
-0.39718,-0.020376,1731489942727600,20
-1.151822,0.30564,1731489942728000,20
-0.238308,0.5094,1731489942728400,20
-1.112104,-0.10188,1731489942728800,20
-1.78731,0.468648,1731489942729200,20
-0.834078,0.346392,1731489942729600,20
-0.39718,-0.020376,1731489942730000,20
-0.99295,0.672408,1731489942730400,20
-0.79436,0.468648,1731489942730800,20
-1.112104,-0.142632,1731489942731200,20
-0.476616,0.387144,1731489942731600,20
-0.59577,0.753912,1731489942732000,20
1.429848,1.283688,1731489942732400,20
-0.635488,0.998424,1731489942732800,20
0.158872,0.753912,1731489942733200,20
0.556052,0.631656,1731489942733600,20
0.99295,1.202184,1731489942734000,20
1.032668,0.5094,1731489942734400,20
0.317744,0.30564,1731489942734800,20
0.476616,-0.061128,1731489942735200,20
0.834078,0.10188,1731489942735600,20
0.635488,-0.183384,1731489942736000,20
0.635488,0.346392,1731489942736400,20
0.59577,-0.835416,1731489942736800,20
-0.357462,0.10188,1731489942737200,20
-0.119154,-0.672408,1731489942737600,20
-0.953232,-0.71316,1731489942740800,20
-1.78731,-0.346392,1731489942741200,20
-2.224208,-0.427896,1731489942741600,20
-1.668156,-0.224136,1731489942742000,20
-0.79436,0.020376,1731489942742400,20
-0.516334,0.020376,1731489942742800,20
-2.224208,0.224136,1731489942743200,20
0.0,0.0,1731489942780000,20
0.0,0.0,1731489942780400,20
0.0,0.0,1731489942780800,20
0.0,0.0,1731489942781200,20
0.0,0.0,1731489942781600,20
0.0,0.0,1731489942782000,20
0.0,0.0,1731489942782400,20
0.0,0.0,1731489942782800,20
0.0,0.0,1731489942783200,20
0.0,0.0,1731489942783600,20
0.0,0.0,1731489942784000,20
0.0,0.0,1731489942784400,20
0.0,0.0,1731489942784800,20
0.0,0.0,1731489942785200,20
0.0,0.0,1731489942785600,20
0.0,0.0,1731489942786000,20
0.0,0.0,1731489942786400,20
0.0,0.0,1731489942786800,20
0.0,0.0,1731489942787200,20
0.0,0.0,1731489942787600,20
0.0,0.0,1731489942788000,20
0.0,0.0,1731489942788400,20
0.0,0.0,1731489942788800,20
0.0,0.0,1731489942789200,20
0.0,0.0,1731489942789600,20
0.0,0.0,1731489942790000,20
0.0,0.0,1731489942790400,20
