time,Bm X,Bm Y
1642489203461.2,-0.409292,-0.284346
1642489203461.6,-0.377808,-0.47391
1642489203462.0,-0.724132,0.15797
1642489203462.4,0.15742,-0.442316
1642489203462.8,0.094452,-0.094782
1642489203463.2002,0.125936,-0.284346
1642489203463.5999,-0.377808,0.15797
1642489203464.0,0.31484,-0.379128
1642489203464.4001,-0.188904,-0.47391
1642489203464.7998,-0.283356,0.126376
1642489203465.2,0.062968,0.284346
1642489203465.6,-0.062968,0.126376
1642489203466.0,0.188904,0.379128
1642489203466.4,0.125936,-0.094782
1642489203466.8,0.31484,-0.063188
1642489203467.2,-0.094452,0.252752
1642489203467.6,0.7871,-0.031594
1642489203468.0,0.15742,-0.410722
1642489203468.4,-0.220388,0.221158
1642489203468.8,0.15742,-0.47391
1642489203469.2,-0.440776,-0.15797
1642489203469.5999,0.598196,0.221158
1642489203470.0,0.125936,-0.442316
1642489203470.4001,-0.850068,-0.221158
1642489203470.7998,-0.598196,-0.821444
1642489203471.2,-0.283356,0.031594
1642489203471.6,0.535228,0.47391
1642489203472.0,0.0,-0.600286
1642489203472.4,0.188904,-0.284346
1642489203472.8,-0.188904,0.0
1642489203473.2002,-0.15742,-0.663474
1642489203473.5999,0.062968,-0.410722
1642489203474.0,0.220388,-0.221158
1642489203474.4001,0.566712,-0.126376
1642489203474.8,0.125936,-0.189564
1642489203475.2,-0.094452,-0.284346
1642489203475.6,-0.062968,-0.094782
1642489203476.0,0.15742,-0.063188
1642489203476.4,-0.283356,-0.758256
1642489203476.8,0.440776,0.252752
1642489203477.2,0.125936,0.189564
1642489203477.6,-0.503744,0.031594
1642489203478.0,0.125936,-0.63188
1642489203478.4,0.31484,-0.284346
1642489203478.8,-0.031484,-0.31594
1642489203479.2,-0.503744,0.410722
1642489203479.5999,-1.007488,-0.094782
1642489203480.0,0.125936,-0.15797
1642489203480.4001,0.377808,0.15797
1642489203480.7998,0.15742,0.442316
1642489203481.2,0.31484,-0.252752
1642489203481.6,-0.62968,0.221158
1642489203482.0,-0.125936,-0.189564
1642489203482.4,-0.566712,0.0
1642489203482.8,0.031484,1.011008
1642489203483.2002,-0.503744,-0.15797
1642489203483.5999,0.503744,0.094782
1642489203484.0,-0.031484,-0.126376
1642489203484.4001,-0.62968,0.126376
1642489203484.8,0.31484,-0.189564
1642489203485.2,0.031484,-0.379128
1642489203485.6,-0.031484,0.410722
1642489203486.0,-0.283356,-0.568692
1642489203486.4,-0.47226,0.442316
1642489203486.8,0.283356,0.15797
1642489203487.2,-0.566712,1.10579
1642489203487.6,-0.031484,-0.758256
1642489203488.0,-0.188904,-0.126376
1642489203488.4,0.409292,-0.252752
1642489203488.8,0.62968,-0.410722
1642489203489.2002,-0.283356,-0.284346
1642489203489.5999,-0.188904,-0.221158
1642489203490.0,-0.220388,-0.347534
1642489203490.4001,-0.346324,-0.221158
1642489203490.7998,-0.125936,0.47391
1642489203491.2,0.377808,0.31594
1642489203491.6,0.15742,-0.379128
1642489203492.0,-0.31484,-0.347534
1642489203492.4,-0.566712,-0.284346
1642489203492.8,0.094452,-0.31594
1642489203493.2,-0.283356,-0.600286
1642489203493.5999,0.220388,-0.15797
1642489203494.0,-0.031484,-0.94782
1642489203494.4,-0.031484,0.347534
1642489203494.8,0.0,-0.379128
1642489203495.2,0.283356,0.063188
1642489203495.6,0.062968,-0.78985
1642489203496.0,-0.031484,0.063188
1642489203496.4001,-0.188904,-0.189564
1642489203496.8,-0.188904,-0.031594
1642489203497.2,-0.598196,-0.063188
1642489203497.6,-0.377808,-0.252752
1642489203498.0,-0.251872,-0.47391
1642489203498.4,0.062968,-0.252752
1642489203498.8,-0.598196,-0.189564
1642489203499.2002,0.251872,-0.284346
1642489203499.5999,0.346324,0.63188
1642489203500.0,-0.15742,-0.189564
1642489203500.4001,0.220388,-0.126376
1642489203500.7998,-0.251872,0.284346
1642489203501.2,-0.220388,0.15797
1642489203501.6,-0.062968,0.0
1642489203502.0,0.094452,-0.347534
1642489203502.4,0.377808,-0.031594
1642489203502.8,0.409292,0.0
1642489203503.2,-0.188904,-0.442316
1642489203503.5999,-0.346324,0.063188
1642489203504.0,0.062968,0.379128
1642489203504.4,-0.566712,-0.347534
1642489203504.8,-0.031484,-0.063188
1642489203505.2,0.346324,0.031594
1642489203505.6,-0.031484,0.0
1642489203506.0,0.251872,-0.063188
1642489203506.4001,0.346324,-0.063188
1642489203506.8,-0.062968,-0.15797
1642489203507.2,0.188904,-0.15797
1642489203507.6,0.440776,-0.126376
1642489203508.0,-0.062968,0.284346
1642489203508.4,-0.15742,0.094782
1642489203508.8,0.661164,0.15797
1642489203509.2002,-0.125936,0.758256
1642489203509.5999,-0.251872,0.379128
1642489203510.0,0.031484,0.31594
1642489203510.4001,0.409292,-0.442316
1642489203510.7998,0.409292,0.189564
1642489203511.2,0.15742,-0.094782
1642489203511.6,0.31484,-0.695068
1642489203512.0,0.188904,-0.442316
1642489203512.4,-0.251872,-0.126376
1642489203512.8,-0.283356,-1.074196
1642489203513.2,-0.188904,-0.379128
1642489203513.6,0.283356,-0.252752
1642489203514.0,-0.062968,-0.505504
1642489203514.4,-0.283356,-0.15797
1642489203514.8,-0.062968,0.0
1642489203515.2,-0.094452,-0.442316
1642489203515.5999,0.15742,-0.568692
1642489203516.0,0.062968,0.031594
1642489203516.4001,0.440776,-0.537098
1642489203516.7998,0.15742,0.47391
1642489203517.2,-0.251872,-0.695068
1642489203517.6,0.251872,0.347534
1642489203518.0,0.15742,-0.31594
1642489203518.4,-0.094452,-0.031594
1642489203518.8,0.346324,0.284346
1642489203519.2002,0.188904,0.284346
1642489203519.5999,0.031484,0.063188
1642489203520.0,0.031484,0.379128
1642489203520.4001,-0.220388,0.126376
1642489203520.8,-0.188904,0.063188
1642489203521.2,-0.47226,-0.189564
1642489203521.6,0.125936,-0.663474
1642489203522.0,0.535228,-0.063188
1642489203522.4,0.031484,0.47391
1642489203522.8,0.346324,0.0
1642489203523.2,0.346324,0.0
1642489203523.6,0.346324,0.0
1642489203524.0,0.346324,0.0
1642489203524.4,0.346324,0.0
1642489203524.8,0.346324,0.0
1642489203525.2,0.346324,0.0
1642489203525.5999,0.346324,0.0
1642489203526.0,-0.503744,0.47391
1642489203526.4001,-0.188904,-0.063188
1642489203526.7998,-0.125936,-0.379128
1642489203527.2,-0.062968,0.347534
1642489203527.6,0.31484,0.979414
1642489203528.0,-0.440776,-0.252752
1642489203528.4,0.251872,0.31594
1642489203528.8,-0.031484,-0.094782
1642489203529.2002,-0.125936,0.0
1642489203529.5999,0.031484,0.252752
1642489203530.0,-0.15742,-0.126376
1642489203530.4001,0.566712,0.094782
1642489203530.8,0.0,-0.63188
1642489203531.2,0.913036,-0.221158
1642489203531.6,-0.850068,-0.442316
1642489203532.0,-0.598196,0.505504
1642489203532.4,-0.15742,-0.758256
1642489203532.8,-0.094452,-0.31594
1642489203533.2,0.661164,0.47391
1642489203533.6,-0.220388,-0.063188
1642489203534.0,-0.220388,-0.189564
1642489203534.4,0.440776,-0.410722
1642489203534.8,-0.598196,0.126376
1642489203535.2002,-0.598196,0.126376
1642489203535.5999,0.377808,0.031594
1642489203536.0,0.566712,-0.063188
1642489203536.4001,-0.31484,-0.094782
1642489203536.7998,-0.251872,0.379128
1642489203537.2,-0.47226,0.284346
1642489203537.6,-0.62968,-0.568692
1642489203538.0,-0.724132,-0.221158
1642489203538.4,-0.15742,0.600286
